"date","Train","Passengers"
2014-12-24,3,19
2014-12-29,3,16
2015-01-03,3,18
2015-01-08,3,22
2015-01-13,3,23
2015-01-18,3,39
2015-01-23,3,27
2015-01-28,3,26
2015-02-02,3,16
2015-02-07,3,32
2015-02-12,3,26
2015-02-17,3,29
2015-02-22,3,41
2015-02-27,3,24
2015-03-04,3,33
2015-03-09,3,21
2015-03-14,3,24
2015-03-19,3,27
2015-03-24,3,31
2015-03-29,3,38
2015-04-03,3,37
2015-04-08,3,28
2015-04-13,3,27
2015-04-18,3,35
2015-04-23,3,35
2015-04-28,3,41
2015-05-03,3,53
2015-05-08,3,45
2015-05-13,3,52
2015-05-18,3,32
2015-05-23,3,52
2015-05-28,3,43
2015-06-02,3,33
2015-06-07,3,56
2015-06-12,3,50
2015-06-17,3,40
2015-06-22,3,26
2015-06-27,3,53
2015-07-02,3,39
2015-07-07,3,48
2015-07-12,3,57
2015-07-17,3,44
2015-07-22,3,48
2015-07-27,3,38
2015-08-01,3,34
2015-08-06,3,36
2015-08-11,3,38
2015-08-16,3,41
2015-08-21,3,32
2015-08-26,3,40
2015-08-31,3,27
2015-09-05,3,49
2015-09-10,3,39
2015-09-15,3,37
2015-09-20,3,65
2015-09-25,3,44
2015-09-30,3,31
2015-10-05,3,26
2015-10-10,3,33
2015-10-15,3,35
2015-10-20,3,43
2015-10-25,3,45
2015-10-30,3,36
2015-11-04,3,31
2015-11-09,3,28
2015-11-14,3,47
2015-11-19,3,43
2015-11-24,3,30
2015-11-29,3,40
2015-12-04,3,25
2015-12-09,3,23
2015-12-14,3,14
2015-12-19,3,25
2015-12-24,3,27
2015-12-29,3,19
2016-01-03,3,35
2016-01-08,3,26
2016-01-13,3,23
2016-01-18,3,21
2016-01-23,3,23
2016-01-28,3,18
2016-02-02,3,21
2016-02-07,3,32
2016-02-12,3,36
2016-02-17,3,29
2016-02-22,3,28
2016-02-27,3,37
2016-03-03,3,29
2016-03-08,3,32
2016-03-13,3,39
2016-03-18,3,31
2016-03-23,3,44
2016-03-28,3,32
2016-04-02,3,57
2016-04-07,3,52
2016-04-12,3,48
2016-04-17,3,48
2016-04-22,3,27
2016-04-27,3,32
2016-05-02,3,36
2016-05-07,3,48
2016-05-12,3,53
2016-05-17,3,38
2016-05-22,3,45
2016-05-27,3,44
2016-06-01,3,35
2016-06-06,3,28
2016-06-11,3,48
2016-06-16,3,41
2016-06-21,3,41
2016-06-26,3,47
2016-07-01,3,52
2016-07-06,3,36
2016-07-11,3,32
2016-07-16,3,68
2016-07-21,3,48
2016-07-26,3,45
2016-07-31,3,55
2016-08-05,3,37
2016-08-10,3,44
2016-08-15,3,38
2016-08-20,3,40
2016-08-25,3,39
2016-08-30,3,35
2016-09-04,3,45
2016-09-09,3,36
2016-09-14,3,52
2016-09-19,3,37
2016-09-24,3,42
2016-09-29,3,45
2016-10-04,3,37
2016-10-09,3,37
2016-10-14,3,39
2016-10-19,3,40
2016-10-24,3,23
2016-10-29,3,39
2016-11-03,3,43
2016-11-08,3,31
2016-11-13,3,45
2016-11-18,3,44
2016-11-23,3,38
2016-11-28,3,33
2016-12-03,3,36
2016-12-08,3,23
2016-12-13,3,25
2016-12-18,3,27
2016-12-23,3,28
2016-12-28,3,25
2013-01-01,4,4
2013-01-06,4,17
2013-01-11,4,7
2013-01-16,4,6
2013-01-21,4,16
2013-01-26,4,8
2013-01-31,4,9
2013-02-05,4,11
2013-02-10,4,5
2013-02-15,4,8
2013-02-20,4,3
2013-02-25,4,12
2013-03-02,4,9
2013-03-07,4,12
2013-03-12,4,10
2013-03-17,4,15
2013-03-22,4,16
2013-03-27,4,13
2013-04-01,4,16
2013-04-06,4,15
2013-04-11,4,14
2013-04-16,4,9
2013-04-21,4,20
2013-04-26,4,11
2013-05-01,4,8
2013-05-06,4,16
2013-05-11,4,20
2013-05-16,4,23
2013-05-21,4,11
2013-05-26,4,14
2013-05-31,4,21
2013-06-05,4,14
2013-06-10,4,12
2013-06-15,4,13
2013-06-20,4,13
2013-06-25,4,18
2013-06-30,4,20
2013-07-05,4,22
2013-07-10,4,12
2013-07-15,4,17
2013-07-20,4,10
2013-07-25,4,24
2013-07-30,4,15
2013-08-04,4,16
2013-08-09,4,15
2013-08-14,4,17
2013-08-19,4,11
2013-08-24,4,14
2013-08-29,4,12
2013-09-03,4,8
2013-09-08,4,23
2013-09-13,4,17
2013-09-18,4,18
2013-09-23,4,15
2013-09-28,4,18
2013-10-03,4,14
2013-10-08,4,7
2013-10-13,4,9
2013-10-18,4,17
2013-10-23,4,8
2013-10-28,4,11
2013-11-02,4,12
2013-11-07,4,8
2013-11-12,4,6
2013-11-17,4,14
2013-11-22,4,14
2013-11-27,4,11
2013-12-02,4,6
2013-12-07,4,12
2013-12-12,4,11
2013-12-17,4,8
2013-12-22,4,16
2013-12-27,4,10
2014-01-01,4,14
2014-01-06,4,8
2014-01-11,4,16
2014-01-16,4,14
2014-01-21,4,7
2014-01-26,4,11
2014-01-31,4,14
2014-02-05,4,12
2014-02-10,4,7
2014-02-15,4,14
2014-02-20,4,10
2014-02-25,4,10
2014-03-02,4,25
2014-03-07,4,14
2014-03-12,4,16
2014-03-17,4,14
2014-03-22,4,19
2014-03-27,4,15
2014-04-01,4,12
2014-04-06,4,17
2014-04-11,4,17
2014-04-16,4,17
2014-04-21,4,8
2014-04-26,4,13
2014-05-01,4,9
2014-05-06,4,12
2014-05-11,4,20
2014-05-16,4,16
2014-05-21,4,13
2014-05-26,4,11
2014-05-31,4,19
2014-06-05,4,21
2014-06-10,4,19
2014-06-15,4,29
2014-06-20,4,21
2014-06-25,4,7
2014-06-30,4,11
2014-07-05,4,22
2014-07-10,4,20
2014-07-15,4,26
2014-07-20,4,21
2014-07-25,4,21
2014-07-30,4,20
2014-08-04,4,9
2014-08-09,4,14
2014-08-14,4,14
2014-08-19,4,15
2014-08-24,4,15
2014-08-29,4,20
2014-09-03,4,11
2014-09-08,4,16
2014-09-13,4,20
2014-09-18,4,16
2014-09-23,4,18
2014-09-28,4,27
2014-10-03,4,17
2014-10-08,4,12
2014-10-13,4,16
2014-10-18,4,14
2014-10-23,4,14
2014-10-28,4,15
2014-11-02,4,19
2014-11-07,4,18
2014-11-12,4,15
2014-11-17,4,9
2014-11-22,4,20
2014-11-27,4,13
2014-12-02,4,12
2014-12-07,4,17
2014-12-12,4,10
2014-12-17,4,7
2014-12-22,4,9
2014-12-27,4,12
2015-01-01,4,14
2015-01-06,4,14
2015-01-11,4,20
2015-01-16,4,16
2015-01-21,4,6
2015-01-26,4,9
2015-01-31,4,9
2015-02-05,4,11
2015-02-10,4,13
2015-02-15,4,14
2015-02-20,4,13
2015-02-25,4,12
2015-03-02,4,10
2015-03-07,4,21
2015-03-12,4,11
2015-03-17,4,12
2015-03-22,4,16
2015-03-27,4,16
2015-04-01,4,20
2015-04-06,4,17
2015-04-11,4,23
2015-04-16,4,15
2015-04-21,4,11
2015-04-26,4,19
2015-05-01,4,22
2015-05-06,4,14
2015-05-11,4,18
2015-05-16,4,21
2015-05-21,4,19
2015-05-26,4,18
2015-05-31,4,22
2015-06-05,4,24
2015-06-10,4,14
2015-06-15,4,13
2015-06-20,4,24
2015-06-25,4,15
2015-06-30,4,19
2015-07-05,4,35
2015-07-10,4,23
2015-07-15,4,18
2015-07-20,4,16
2015-07-25,4,12
2015-07-30,4,22
2015-08-04,4,16
2015-08-09,4,20
2015-08-14,4,16
2015-08-19,4,18
2015-08-24,4,11
2015-08-29,4,12
2015-09-03,4,15
2015-09-08,4,13
2015-09-13,4,15
2015-09-18,4,15
2015-09-23,4,13
2015-09-28,4,17
2015-10-03,4,20
2015-10-08,4,20
2015-10-13,4,12
2015-10-18,4,16
2015-10-23,4,11
2015-10-28,4,11
2015-11-02,4,15
2015-11-07,4,24
2015-11-12,4,12
2015-11-17,4,10
2015-11-22,4,29
2015-11-27,4,24
2015-12-02,4,11
2015-12-07,4,8
2015-12-12,4,12
2015-12-17,4,18
2015-12-22,4,16
2015-12-27,4,12
2016-01-01,4,8
2016-01-06,4,10
2016-01-11,4,11
2016-01-16,4,15
2016-01-21,4,9
2016-01-26,4,7
2016-01-31,4,9
2016-02-05,4,10
2016-02-10,4,12
2016-02-15,4,10
2016-02-20,4,10
2016-02-25,4,14
2016-03-01,4,15
2016-03-06,4,29
2016-03-11,4,8
2016-03-16,4,17
2016-03-21,4,16
2016-03-26,4,18
2016-03-31,4,18
2016-04-05,4,7
2016-04-10,4,17
2016-04-15,4,11
2016-04-20,4,22
2016-04-25,4,20
2016-04-30,4,25
2016-05-05,4,24
2016-05-10,4,16
2016-05-15,4,19
2016-05-20,4,19
2016-05-25,4,14
2016-05-30,4,9
2016-06-04,4,24
2016-06-09,4,22
2016-06-14,4,22
2016-06-19,4,16
2016-06-24,4,14
2016-06-29,4,14
2016-07-04,4,18
2016-07-09,4,24
2016-07-14,4,18
2016-07-19,4,18
2016-07-24,4,25
2016-07-29,4,16
2016-08-03,4,14
2016-08-08,4,18
2016-08-13,4,24
2016-08-18,4,22
2016-08-23,4,21
2016-08-28,4,26
2016-09-02,4,23
2016-09-07,4,17
2016-09-12,4,11
2016-09-17,4,15
2016-09-22,4,21
2016-09-27,4,13
2016-10-02,4,24
2016-10-07,4,16
2016-10-12,4,10
2016-10-17,4,7
2016-10-22,4,21
2016-10-27,4,18
2016-11-01,4,22
2016-11-06,4,9
2016-11-11,4,20
2016-11-16,4,15
2016-11-21,4,17
2016-11-26,4,21
2016-12-01,4,16
2016-12-06,4,14
2016-12-11,4,11
2016-12-16,4,12
2016-12-21,4,13
2016-12-26,4,8
2016-12-31,4,10
2013-01-02,5,13
2013-01-07,5,10
2013-01-12,5,10
2013-01-17,5,11
2013-01-22,5,11
2013-01-27,5,16
2013-02-01,5,20
2013-02-06,5,14
2013-02-11,5,6
2013-02-16,5,11
2013-02-21,5,14
2013-02-26,5,8
2013-03-03,5,14
2013-03-08,5,12
2013-03-13,5,25
2013-03-18,5,10
2013-03-23,5,15
2013-03-28,5,20
2013-04-02,5,17
2013-04-07,5,22
2013-04-12,5,10
2013-04-17,5,12
2013-04-22,5,10
2013-04-27,5,25
2013-05-02,5,11
2013-05-07,5,24
2013-05-12,5,24
2013-05-17,5,20
2013-05-22,5,13
2013-05-27,5,22
2013-06-01,5,21
2013-06-06,5,21
2013-06-11,5,18
2013-06-16,5,19
2013-06-21,5,18
2013-06-26,5,21
2013-07-01,5,19
2013-07-06,5,28
2013-07-11,5,14
2013-07-16,5,18
2013-07-21,5,20
2013-07-26,5,28
2013-07-31,5,20
2013-08-05,5,19
2013-08-10,5,24
2013-08-15,5,17
2013-08-20,5,18
2013-08-25,5,30
2013-08-30,5,24
2013-09-04,5,14
2013-09-09,5,16
2013-09-14,5,26
2013-09-19,5,20
2013-09-24,5,18
2013-09-29,5,21
2013-10-04,5,12
2013-10-09,5,14
2013-10-14,5,13
2013-10-19,5,21
2013-10-24,5,15
2013-10-29,5,11
2013-11-03,5,25
2013-11-08,5,17
2013-11-13,5,15
2013-11-18,5,14
2013-11-23,5,20
2013-11-28,5,10
2013-12-03,5,8
2013-12-08,5,20
2013-12-13,5,12
2013-12-18,5,4
2013-12-23,5,13
2013-12-28,5,11
2014-01-02,5,14
2014-01-07,5,10
2014-01-12,5,11
2014-01-17,5,14
2014-01-22,5,12
2014-01-27,5,8
2014-02-01,5,9
2014-02-06,5,16
2014-02-11,5,12
2014-02-16,5,14
2014-02-21,5,12
2014-02-26,5,9
2014-03-03,5,11
2014-03-08,5,19
2014-03-13,5,22
2014-03-18,5,20
2014-03-23,5,16
2014-03-28,5,19
2014-04-02,5,16
2014-04-07,5,14
2014-04-12,5,20
2014-04-17,5,18
2014-04-22,5,14
2014-04-27,5,28
2014-05-02,5,23
2014-05-07,5,20
2014-05-12,5,13
2014-05-17,5,19
2014-05-22,5,32
2014-05-27,5,20
2014-06-01,5,35
2014-06-06,5,33
2014-06-11,5,27
2014-06-16,5,24
2014-06-21,5,27
2014-06-26,5,25
2014-07-01,5,24
2014-07-06,5,29
2014-07-11,5,21
2014-07-16,5,17
2014-07-21,5,16
2014-07-26,5,25
2014-07-31,5,26
2014-08-05,5,21
2014-08-10,5,26
2014-08-15,5,21
2014-08-20,5,18
2014-08-25,5,20
2014-08-30,5,29
2014-09-04,5,18
2014-09-09,5,23
2014-09-14,5,19
2014-09-19,5,25
2014-09-24,5,11
2014-09-29,5,15
2014-10-04,5,20
2014-10-09,5,29
2014-10-14,5,11
2014-10-19,5,23
2014-10-24,5,16
2014-10-29,5,11
2014-11-03,5,27
2014-11-08,5,23
2014-11-13,5,20
2014-11-18,5,26
2014-11-23,5,37
2014-11-28,5,12
2014-12-03,5,8
2014-12-08,5,12
2014-12-13,5,20
2014-12-18,5,11
2014-12-23,5,21
2014-12-28,5,27
2015-01-02,5,13
2015-01-07,5,7
2015-01-12,5,7
2015-01-17,5,17
2015-01-22,5,14
2015-01-27,5,13
2015-02-01,5,15
2015-02-06,5,20
2015-02-11,5,11
2015-02-16,5,13
2015-02-21,5,16
2015-02-26,5,23
2015-03-03,5,23
2015-03-08,5,26
2015-03-13,5,22
2015-03-18,5,17
2015-03-23,5,23
2015-03-28,5,15
2015-04-02,5,20
2015-04-07,5,17
2015-04-12,5,26
2015-04-17,5,24
2015-04-22,5,17
2015-04-27,5,15
2015-05-02,5,27
2015-05-07,5,30
2015-05-12,5,25
2015-05-17,5,22
2015-05-22,5,20
2015-05-27,5,20
2015-06-01,5,21
2015-06-06,5,28
2015-06-11,5,28
2015-06-16,5,18
2015-06-21,5,22
2015-06-26,5,27
2015-07-01,5,16
2015-07-06,5,28
2015-07-11,5,31
2015-07-16,5,25
2015-07-21,5,15
2015-07-26,5,35
2015-07-31,5,25
2015-08-05,5,17
2015-08-10,5,16
2015-08-15,5,31
2015-08-20,5,22
2015-08-25,5,22
2015-08-30,5,30
2015-09-04,5,23
2015-09-09,5,19
2015-09-14,5,14
2015-09-19,5,22
2015-09-24,5,17
2015-09-29,5,27
2015-10-04,5,25
2015-10-09,5,27
2015-10-14,5,14
2015-10-19,5,12
2015-10-24,5,21
2015-10-29,5,28
2015-11-03,5,23
2015-11-08,5,26
2015-11-13,5,18
2015-11-18,5,17
2015-11-23,5,16
2015-11-28,5,23
2015-12-03,5,11
2015-12-08,5,14
2015-12-13,5,18
2015-12-18,5,16
2015-12-23,5,18
2015-12-28,5,11
2016-01-02,5,18
2016-01-07,5,18
2016-01-12,5,13
2016-01-17,5,9
2016-01-22,5,18
2016-01-27,5,16
2016-02-01,5,16
2016-02-06,5,21
2016-02-11,5,15
2016-02-16,5,15
2016-02-21,5,12
2016-02-26,5,15
2016-03-02,5,21
2016-03-07,5,15
2016-03-12,5,26
2016-03-17,5,17
2016-03-22,5,24
2016-03-27,5,26
2016-04-01,5,26
2016-04-06,5,18
2016-04-11,5,16
2016-04-16,5,25
2016-04-21,5,24
2016-04-26,5,22
2016-05-01,5,28
2016-05-06,5,23
2016-05-11,5,27
2016-05-16,5,18
2016-05-21,5,31
2016-05-26,5,26
2016-05-31,5,20
2016-06-05,5,28
2016-06-10,5,15
2016-06-15,5,26
2016-06-20,5,13
2016-06-25,5,33
2016-06-30,5,24
2016-07-05,5,22
2016-07-10,5,40
2016-07-15,5,30
2016-07-20,5,27
2016-07-25,5,26
2016-07-30,5,32
2016-08-04,5,22
2016-08-09,5,24
2016-08-14,5,22
2016-08-19,5,23
2016-08-24,5,29
2016-08-29,5,22
2016-09-03,5,38
2016-09-08,5,22
2016-09-13,5,21
2016-09-18,5,30
2016-09-23,5,28
2016-09-28,5,19
2016-10-03,5,21
2016-10-08,5,23
2016-10-13,5,27
2016-10-18,5,12
2016-10-23,5,17
2016-10-28,5,22
2016-11-02,5,26
2016-11-07,5,15
2016-11-12,5,27
2016-11-17,5,19
2016-11-22,5,22
2016-11-27,5,26
2016-12-02,5,10
2016-12-07,5,9
2016-12-12,5,15
2016-12-17,5,19
2016-12-22,5,23
2016-12-27,5,18
