"date","unit"
1968-01-01,29.7
1968-01-02,26.9
1968-01-03,27.8
1968-01-04,23.6
1968-01-05,24.8
1968-01-06,24.8
1968-01-07,24.8
1968-01-08,26.4
1968-01-09,30.8
1968-01-10,29
1968-01-11,25.2
1968-01-12,22.3
1968-01-13,25.7
1968-01-14,30.5
1968-01-15,34
1968-01-16,29.7
1968-01-17,29.6
1968-01-18,33.8
1968-01-19,26.7
1968-01-20,24.5
1968-01-21,27.2
1968-01-22,21.1
1968-01-23,23.4
1968-01-24,25
1968-01-25,25.5
1968-01-26,27.7
1968-01-27,28.4
1968-01-28,26.2
1968-01-29,24.5
1968-01-30,24.1
1968-01-31,24.4
1968-02-01,24.3
1968-02-02,27.8
1968-02-03,30.9
1968-02-04,28.9
1968-02-05,25.6
1968-02-06,25.8
1968-02-07,23.6
1968-02-08,26.1
1968-02-09,34
1968-02-10,24
1968-02-11,22.7
1968-02-12,22.9
1968-02-13,27.3
1968-02-14,31
1968-02-15,31.1
1968-02-16,30.2
1968-02-17,27.4
1968-02-18,25.6
1968-02-19,25.1
1968-02-20,24.7
1968-02-21,25.6
1968-02-22,25.5
1968-02-23,23.4
1968-02-24,23.4
1968-02-25,27.5
1968-02-26,25.9
1968-02-27,26.5
1968-02-28,30.2
1968-03-01,26.8
1968-03-02,27.6
1968-03-03,26
1968-03-04,25
1968-03-05,22.3
1968-03-06,23.3
1968-03-07,20.4
1968-03-08,25.3
1968-03-09,25.1
1968-03-10,20.8
1968-03-11,21.2
1968-03-12,23.7
1968-03-13,20.8
1968-03-14,20.3
1968-03-15,19.6
1968-03-16,20.7
1968-03-17,23.2
1968-03-18,20.2
1968-03-19,25.9
1968-03-20,25.7
1968-03-21,17.1
1968-03-22,17
1968-03-23,17.8
1968-03-24,22.4
1968-03-25,19.9
1968-03-26,22.4
1968-03-27,20
1968-03-28,24
1968-03-29,24.7
1968-03-30,23.5
1968-03-31,24.8
1968-04-01,25.7
1968-04-02,25.8
1968-04-03,26.5
1968-04-04,26.1
1968-04-05,27.1
1968-04-06,25.6
1968-04-07,19
1968-04-08,23.9
1968-04-09,24.9
1968-04-10,22
1968-04-11,16.6
1968-04-12,20.5
1968-04-13,22.5
1968-04-14,22
1968-04-15,22.3
1968-04-16,21.1
1968-04-17,21.4
1968-04-18,22.2
1968-04-19,22.8
1968-04-20,19.6
1968-04-21,18
1968-04-22,19
1968-04-23,18.8
1968-04-24,20.5
1968-04-25,17.9
1968-04-26,16.4
1968-04-27,18.9
1968-04-28,18.3
1968-04-29,18.9
1968-04-30,16.4
1968-05-01,17.6
1968-05-02,20.9
1968-05-03,23
1968-05-04,17.6
1968-05-05,19
1968-05-06,22.5
1968-05-07,21
1968-05-08,19.5
1968-05-09,19.7
1968-05-10,17.1
1968-05-11,19.1
1968-05-12,19.6
1968-05-13,14.3
1968-05-14,15.6
1968-05-15,17.5
1968-05-16,20.2
1968-05-17,18.8
1968-05-18,14.9
1968-05-19,12.2
1968-05-20,11.1
1968-05-21,12.4
1968-05-22,14.4
1968-05-23,18.6
1968-05-24,20.5
1968-05-25,21.3
1968-05-26,21.6
1968-05-27,20
1968-05-28,20.2
1968-05-29,20.4
1968-05-30,20.8
1968-05-31,21.8
1968-06-01,20.6
1968-06-02,19.6
1968-06-03,18.8
1968-06-04,20.2
1968-06-05,14.7
1968-06-06,16.1
1968-06-07,11.5
1968-06-08,12.5
1968-06-09,13.6
1968-06-10,20
1968-06-11,14.7
1968-06-12,16.7
1968-06-13,19.4
1968-06-14,20.4
1968-06-15,18.2
1968-06-16,15.1
1968-06-17,11.7
1968-06-18,13.3
1968-06-19,15.3
1968-06-20,12.8
1968-06-21,13.4
1968-06-22,16.1
1968-06-23,13.8
1968-06-24,14.8
1968-06-25,15.2
1968-06-26,16.3
1968-06-27,18.2
1968-06-28,19.2
1968-06-29,18.5
1968-06-30,18.5
1968-07-01,19.7
1968-07-02,19
1968-07-03,15.5
1968-07-04,16
1968-07-05,16.4
1968-07-06,17.1
1968-07-07,15.6
1968-07-08,17.3
1968-07-09,17.9
1968-07-10,13.6
1968-07-11,15.8
1968-07-12,14.7
1968-07-13,15.1
1968-07-14,16
1968-07-15,16.2
1968-07-16,15.3
1968-07-17,17.8
1968-07-18,14
1968-07-19,16.4
1968-07-20,19.1
1968-07-21,21
1968-07-22,18
1968-07-23,17.9
1968-07-24,18.8
1968-07-25,18
1968-07-26,18.2
1968-07-27,16.7
1968-07-28,17
1968-07-29,15.1
1968-07-30,12.5
1968-07-31,12.2
1968-08-01,14.7
1968-08-02,16.7
1968-08-03,18
1968-08-04,19
1968-08-05,15.2
1968-08-06,15.9
1968-08-07,15.5
1968-08-08,15.8
1968-08-09,16
1968-08-10,14.2
1968-08-11,12
1968-08-12,14.6
1968-08-13,16.9
1968-08-14,18
1968-08-15,17.6
1968-08-16,19.3
1968-08-17,19.5
1968-08-18,16.6
1968-08-19,18.7
1968-08-20,21.5
1968-08-21,16.4
1968-08-22,16.9
1968-08-23,12.9
1968-08-24,15.6
1968-08-25,13.6
1968-08-26,16
1968-08-27,15
1968-08-28,14.5
1968-08-29,17.1
1968-08-30,14.5
1968-08-31,15.2
1968-09-01,17
1968-09-02,19.3
1968-09-03,18.8
1968-09-04,18.6
1968-09-05,17.5
1968-09-06,16.5
1968-09-07,20.2
1968-09-08,23.6
1968-09-09,20.7
1968-09-10,16.8
1968-09-11,21.3
1968-09-12,19.1
1968-09-13,20.5
1968-09-14,16.3
1968-09-15,19.9
1968-09-16,23.1
1968-09-17,19.7
1968-09-18,25.9
1968-09-19,19.5
1968-09-20,15.5
1968-09-21,20
1968-09-22,15.3
1968-09-23,19.5
1968-09-24,16.2
1968-09-25,16.6
1968-09-26,19.7
1968-09-27,16.8
1968-09-28,18.6
1968-09-29,20.4
1968-09-30,21.4
1968-10-01,17.9
1968-10-02,22.2
1968-10-03,17.6
1968-10-04,15.2
1968-10-05,20.4
1968-10-06,22.2
1968-10-07,23.3
1968-10-08,16.3
1968-10-09,21.9
1968-10-10,16.8
1968-10-11,15.2
1968-10-12,14.6
1968-10-13,19
1968-10-14,22.3
1968-10-15,17.3
1968-10-16,19.2
1968-10-17,17.6
1968-10-18,16.3
1968-10-19,19.4
1968-10-20,20.2
1968-10-21,22.2
1968-10-22,20.4
1968-10-23,18.1
1968-10-24,15.6
1968-10-25,17.4
1968-10-26,18.7
1968-10-27,22.2
1968-10-28,21.5
1968-10-29,20
1968-10-30,20
1968-10-31,20.7
1968-11-01,18.2
1968-11-02,20.5
1968-11-03,22.6
1968-11-04,22.7
1968-11-05,19.4
1968-11-06,20.5
1968-11-07,16.6
1968-11-08,18.6
1968-11-09,23.2
1968-11-10,24.7
1968-11-11,19.5
1968-11-12,19.5
1968-11-13,18.7
1968-11-14,18.5
1968-11-15,20.3
1968-11-16,17.9
1968-11-17,18.4
1968-11-18,20.9
1968-11-19,20.7
1968-11-20,22.4
1968-11-21,21.6
1968-11-22,19.1
1968-11-23,24.8
1968-11-24,22.6
1968-11-25,20.9
1968-11-26,18.9
1968-11-27,21.6
1968-11-28,26.8
1968-11-29,24
1968-11-30,22.6
1968-12-01,22.4
1968-12-02,19.5
1968-12-03,23.2
1968-12-04,20.5
1968-12-05,22
1968-12-06,24
1968-12-07,23.7
1968-12-08,21.6
1968-12-09,21.5
1968-12-10,22.5
1968-12-11,23.8
1968-12-12,26.2
1968-12-13,18.7
1968-12-14,21.1
1968-12-15,21.8
1968-12-16,20.2
1968-12-17,25.4
1968-12-18,24.6
1968-12-19,22.3
1968-12-20,20
1968-12-21,20.1
1968-12-22,24
1968-12-23,21.8
1968-12-24,24
1968-12-25,23.2
1968-12-26,23
1968-12-27,24.5
1968-12-28,22.3
1968-12-29,24.6
1968-12-30,24.2
1968-12-31,26.4
1969-01-01,26
1969-01-02,24
1969-01-03,22.5
1969-01-04,24.2
1969-01-05,22
1969-01-06,21.5
1969-01-07,23.1
1969-01-08,23.8
1969-01-09,25.2
1969-01-10,24.8
1969-01-11,28.1
1969-01-12,31.2
1969-01-13,24.9
1969-01-14,22
1969-01-15,23.1
1969-01-16,24.8
1969-01-17,33
1969-01-18,27
1969-01-19,28.7
1969-01-20,34.2
1969-01-21,29.5
1969-01-22,28.3
1969-01-23,24.8
1969-01-24,26
1969-01-25,27.4
1969-01-26,22.3
1969-01-27,23.6
1969-01-28,21.5
1969-01-29,26
1969-01-30,26.1
1969-01-31,23
1969-02-01,23.6
1969-02-02,22.3
1969-02-03,23.8
1969-02-04,24.1
1969-02-05,22.1
1969-02-06,22.6
1969-02-07,28.5
1969-02-08,31.7
1969-02-09,26.2
1969-02-10,22.5
1969-02-11,24.4
1969-02-12,26
1969-02-13,28.2
1969-02-14,31.8
1969-02-15,35.3
1969-02-16,27.2
1969-02-17,26
1969-02-18,23.8
1969-02-19,21.8
1969-02-20,24.5
1969-02-21,24.6
1969-02-22,22.1
1969-02-23,24.2
1969-02-24,23.1
1969-02-25,21.5
1969-02-26,23.6
1969-02-27,19.4
1969-02-28,22.9
1969-03-01,20.9
1969-03-02,22.5
1969-03-03,18.8
1969-03-04,23
1969-03-05,30.5
1969-03-06,28.5
1969-03-07,25.7
1969-03-08,28.1
1969-03-09,20
1969-03-10,18
1969-03-11,19
1969-03-12,23.6
1969-03-13,21.5
1969-03-14,26.2
1969-03-15,28.2
1969-03-16,31.2
1969-03-17,24.7
1969-03-18,23.2
1969-03-19,18.8
1969-03-20,23
1969-03-21,26.5
1969-03-22,29.7
1969-03-23,24.6
1969-03-24,22.2
1969-03-25,23.5
1969-03-26,25.8
1969-03-27,26.2
1969-03-28,22.4
1969-03-29,23.2
1969-03-30,23.3
1969-03-31,19.2
1969-04-01,19.4
1969-04-02,21.3
1969-04-03,20.9
1969-04-04,20.2
1969-04-05,17.5
1969-04-06,21
1969-04-07,21.4
1969-04-08,21.9
1969-04-09,19.1
1969-04-10,24
1969-04-11,22.6
1969-04-12,21.4
1969-04-13,22.6
1969-04-14,25.1
1969-04-15,28.5
1969-04-16,23.2
1969-04-17,18.3
1969-04-18,19.1
1969-04-19,16.4
1969-04-20,17.6
1969-04-21,16.8
1969-04-22,18.1
1969-04-23,22
1969-04-24,25.5
1969-04-25,21.9
1969-04-26,15.9
1969-04-27,15.9
1969-04-28,17.7
1969-04-29,19
1969-04-30,19.8
1969-05-01,16.5
1969-05-02,15.3
1969-05-03,20.9
1969-05-04,22.8
1969-05-05,20.8
1969-05-06,20
1969-05-07,19.1
1969-05-08,17.5
1969-05-09,14.5
1969-05-10,16.6
1969-05-11,17.7
1969-05-12,19.8
1969-05-13,20.2
1969-05-14,18.1
1969-05-15,12.7
1969-05-16,13.6
1969-05-17,15.6
1969-05-18,22.2
1969-08-17,18.2
1969-08-18,13.3
1969-08-19,15.6
1969-08-20,18.4
1969-08-21,22.2
1969-08-22,15.6
1969-08-23,14.1
1969-08-24,21.1
1969-08-25,20.2
1969-08-26,17.5
1969-08-27,13.6
1969-08-28,16
1969-08-29,23.2
1969-08-30,21.7
1969-08-31,16.6
1969-09-01,13
1969-09-02,19
1969-09-03,19.5
1969-09-04,14
1969-09-05,13.5
1969-09-06,17.2
1969-09-07,13.3
1969-09-08,18.8
1969-09-09,14.8
1969-09-10,14
1969-09-11,17.5
1969-09-12,18
1969-09-13,12.6
1969-09-14,15.7
1969-09-15,15.7
1969-09-16,19.1
1969-09-17,24
1969-09-18,17.9
1969-09-19,14.7
1969-09-20,13.2
1969-09-21,13
1969-09-22,14.3
1969-09-23,15.3
1969-09-24,17.5
1969-09-25,20.5
1969-09-26,16.7
1969-09-27,18.2
1969-09-28,16.8
1969-09-29,15.3
1969-09-30,15.3
1969-10-01,17.6
1969-10-02,15.1
1969-10-03,22.2
1969-10-04,18.9
1969-10-05,13.7
1969-10-06,14.8
1969-10-07,23.9
1969-10-08,19.7
1969-10-09,17.6
1969-10-10,18.4
1969-10-11,14.7
1969-10-12,19.9
1969-10-13,22.1
1969-10-14,19.4
1969-10-15,17.2
1969-10-16,18.8
1969-10-17,16.5
1969-10-18,14.8
1969-10-19,18.8
1969-10-20,16.9
1969-10-21,17.7
1969-10-22,19
1969-10-23,19.6
1969-10-24,17
1969-10-25,19.2
1969-10-26,24.1
1969-10-27,22.9
1969-10-28,18.2
1969-10-29,18
1969-10-30,22.2
1969-10-31,16
1969-11-01,19.6
1969-11-02,15.9
1969-11-03,18.5
1969-11-04,21.5
1969-11-05,22.6
1969-11-06,26.7
1969-11-07,25
1969-11-08,20.3
1969-11-09,19.5
1969-11-10,23.4
1969-11-11,19.3
1969-11-12,18
1969-11-13,20.1
1969-11-14,23.5
1969-11-15,27
1969-11-16,21.8
1969-11-17,19.7
1969-11-18,18.1
1969-11-19,17.7
1969-11-20,21.4
1969-11-21,21.6
1969-11-22,19.3
1969-11-23,22.7
1969-11-24,25
1969-11-25,24.8
1969-11-26,21.1
1969-11-27,21.5
1969-11-28,21.2
1969-11-29,22.7
1969-11-30,25.1
1969-12-01,24.5
1969-12-02,19.3
1969-12-03,19.5
1969-12-04,20
1969-12-05,20.9
1969-12-06,22
1969-12-07,21.2
1969-12-08,19.6
1969-12-09,22
1969-12-10,22
1969-12-11,21.2
1969-12-12,21.6
1969-12-13,27.7
1969-12-14,24.2
1969-12-15,24.3
1969-12-16,22.9
1969-12-17,24.8
1969-12-18,22
1969-12-19,22
1969-12-20,22.7
1969-12-21,21
1969-12-22,19.8
1969-12-23,24.6
1969-12-24,24.3
1969-12-25,22.9
1969-12-26,22
1969-12-27,24.3
1969-12-28,25.3
1969-12-29,24.8
1969-12-30,26.7
1969-12-31,25.3
1970-01-01,27.4
1970-01-02,24
1970-01-03,19.9
1970-01-04,20.4
1970-01-05,23.8
1970-01-06,21.1
1970-01-07,21.8
1970-01-08,25.2
1970-01-09,24.5
1970-01-10,22
1970-01-11,19.5
1970-01-12,18.1
1970-01-13,19.5
1970-01-14,20.8
1970-01-15,21.7
1970-01-16,21.7
1970-01-17,20.5
1970-01-18,22.8
1970-01-19,22.3
1970-01-20,20.6
1970-01-21,24.4
1970-01-22,21.4
1970-01-23,25.9
1970-01-24,23.7
1970-01-25,19.6
1970-01-26,24.6
1970-01-27,19.7
1970-01-28,21.6
1970-01-29,22.8
1970-01-30,23.3
1970-01-31,23
1970-02-01,27.1
1970-02-02,26.3
1970-02-03,22
1970-02-04,25
1970-02-05,23.9
1970-02-06,25.2
1970-02-07,29.3
1970-02-08,31.5
1970-02-09,26.2
1970-02-10,24.9
1970-02-11,25.8
1970-02-12,22.8
1970-02-13,21.8
1970-02-14,23
1970-02-15,26.5
1970-02-16,30.5
1970-02-17,25.8
1970-02-18,22.6
1970-02-19,23.5
1970-02-20,23.2
1970-02-21,24.7
1970-02-22,28.7
1970-02-23,26.4
1970-02-24,23.4
1970-02-25,25.9
1970-02-26,28.1
1970-02-27,29.4
1970-02-28,29.1
1970-03-01,28.9
1970-03-02,31
1970-03-03,29.5
1970-03-04,31.1
1970-03-05,29.6
1970-03-06,24
1970-03-07,29.6
1970-03-08,30.5
1970-03-09,25.2
1970-03-10,23.1
1970-03-11,23.5
1970-03-12,30.1
1970-03-13,24.9
1970-03-14,24.2
1970-03-15,22.1
1970-03-16,22.2
1970-03-17,21.5
1970-03-18,24.2
1970-03-19,26.6
1970-03-20,24.5
1970-03-21,25.7
1970-03-22,25.3
1970-03-23,24.1
1970-03-24,21.7
1970-03-25,19
1970-03-26,20.4
1970-03-27,21.6
1970-03-28,19.7
1970-03-29,19
1970-03-30,22.9
1970-03-31,22.4
1970-04-01,21.5
1970-04-02,21.8
1970-04-03,16.8
1970-04-04,20.1
1970-04-05,19.7
1970-04-06,16.1
1970-04-07,15.7
1970-04-08,14.7
1970-04-09,18.1
1970-04-10,24.2
1970-04-11,24.5
1970-04-12,20.1
1970-04-13,20.7
1970-04-14,20.5
1970-04-15,18.8
1970-04-16,15.2
1970-04-17,15.7
1970-04-18,16.5
1970-04-19,17.8
1970-04-20,17
1970-04-21,19.4
1970-04-22,23.5
1970-04-23,25.5
1970-04-24,23.1
1970-04-25,19.5
1970-04-26,21.6
1970-04-27,22
1970-04-28,17.7
1970-04-29,19.1
1970-04-30,21
1970-05-01,21.5
1970-05-02,22.5
1970-05-03,22.7
1970-05-04,22.5
1970-05-05,19.7
1970-05-06,22
1970-05-07,20.6
1970-05-08,22
1970-05-09,20.2
1970-05-10,22.5
1970-05-11,21.9
1970-05-12,15.8
1970-05-13,19
1970-05-14,23.5
1970-05-15,20.7
1970-05-16,15.7
1970-05-17,13.6
1970-05-18,13.9
1970-05-19,16.4
1970-05-20,17.3
1970-05-21,16.5
1970-05-22,15.2
1970-05-23,16.8
1970-05-24,22.2
1970-05-25,20.9
1970-05-26,15.5
1970-05-27,17.3
1970-05-28,21.1
1970-05-29,18.3
1970-05-30,16.5
1970-05-31,18.3
1970-06-01,20
1970-06-02,19.8
1970-06-03,14.3
1970-06-04,16.6
1970-06-05,14.6
1970-06-06,16.2
1970-06-07,18.6
1970-06-08,16
1970-06-09,17.3
1970-06-10,16.8
1970-06-11,13.7
1970-06-12,15.8
1970-06-13,16.2
1970-06-14,17.3
1970-06-15,18.5
1970-06-16,13.7
1970-06-17,12
1970-06-18,10.5
1970-06-19,11.5
1970-06-20,15.2
1970-06-21,20.6
1970-06-22,15.6
1970-06-23,15.6
1970-06-24,17
1970-06-25,16.9
1970-06-26,12.3
1970-06-27,12.9
1970-06-28,15
1970-06-29,13
1970-06-30,14.5
1970-07-01,17.5
1970-07-02,18.8
1970-07-03,18.5
1970-07-04,16.2
1970-07-05,17.1
1970-07-06,17
1970-07-07,17.5
1970-07-08,17.8
1970-07-09,17.3
1970-07-10,11.4
1970-07-11,13.9
1970-07-12,14.9
1970-07-13,15.7
1970-07-14,17.4
1970-07-15,15.5
1970-07-16,16.9
1970-07-17,13.1
1970-07-18,14.4
1970-07-19,16.5
1970-07-20,12.9
1970-07-21,11.5
1970-07-22,14.3
1970-07-23,15.6
1970-07-24,9
1970-07-25,9.7
1970-07-26,16.6
1970-07-27,21.3
1970-07-28,18.2
1970-07-29,18.6
1970-07-30,18.5
1970-07-31,19
1970-08-01,16.7
1970-08-02,17
1970-08-03,17.3
1970-08-04,17.3
1970-08-05,13.5
1970-08-06,15.5
1970-08-07,18.4
1970-08-08,18.4
1970-08-09,19.5
1970-08-10,19.7
1970-08-11,18.9
1970-08-12,16.6
1970-08-13,14.8
1970-08-14,17.5
1970-08-15,22.8
1970-08-16,23.3
1970-08-17,17.3
1970-08-18,14.3
1970-08-19,12
1970-08-20,14.2
1970-08-21,19.3
1970-08-22,20.1
1970-08-23,19.5
1970-08-24,18
1970-08-25,22
1970-08-26,15.4
1970-08-27,17.4
1970-08-28,15.7
1970-08-29,17.3
1970-08-30,20.2
1970-08-31,19
1970-09-01,19.1
1970-09-02,19.6
1970-09-03,19.9
1970-09-04,14.7
1970-09-05,18.5
1970-09-06,19.4
1970-09-07,20.1
1970-09-08,21.2
1970-09-09,19.6
1970-09-10,17.8
1970-09-11,18.2
1970-09-12,14.5
1970-09-13,16.1
1970-09-14,15.5
1970-09-15,13.3
1970-09-16,14
1970-09-17,20.2
1970-09-18,16.5
1970-09-19,21
1970-09-20,22.6
1970-09-21,17.3
1970-09-22,17.5
1970-09-23,21.9
1970-09-24,16.7
1970-09-25,16.6
1970-09-26,12.5
1970-09-27,19.4
1970-09-28,24.4
1970-09-29,19.6
1970-09-30,18.6
1970-10-01,18.3
1970-10-02,22.9
1970-10-03,16.7
1970-10-04,18.5
1970-10-05,16.6
1970-10-06,15.9
1970-10-07,15.8
1970-10-08,14.8
1970-10-09,15
1970-10-10,17.3
1970-10-11,18.1
1970-10-12,21.5
1970-10-13,22.2
1970-10-14,25.2
1970-10-15,21.5
1970-10-16,20.8
1970-10-17,19.6
1970-10-18,19
1970-10-19,21.2
1970-10-20,17.9
1970-10-21,19.3
1970-10-22,16.5
1970-10-23,20.6
1970-10-24,21.6
1970-10-25,21.9
1970-10-26,20.7
1970-10-27,23
1970-10-28,21.3
1970-10-29,18
1970-10-30,18.2
1970-10-31,18.8
1970-11-01,20.8
1970-11-02,19.6
1970-11-03,21.6
1970-11-04,20
1970-11-05,17.2
1970-11-06,16.5
1970-11-07,22.6
1970-11-08,23.8
1970-11-09,19.9
1970-11-10,16.7
1970-11-11,19.2
1970-11-12,19.8
1970-11-13,19.8
1970-11-14,21.5
1970-11-15,22.2
1970-11-16,17.7
1970-11-17,14.7
1970-11-18,18.8
1970-11-19,16.3
1970-11-20,19.8
1970-11-21,19
1970-11-22,25.2
1970-11-23,24
1970-11-24,23.5
1970-11-25,24.9
1970-11-26,23.9
1970-11-27,23.2
1970-11-28,24.8
1970-11-29,26.2
1970-11-30,26.6
1970-12-01,21.1
1970-12-02,20.4
1970-12-03,22
1970-12-04,22.2
1970-12-05,21
1970-12-06,24.3
1970-12-07,21.7
1970-12-08,21.1
1970-12-09,22.8
1970-12-10,19.9
1970-12-11,21
1970-12-12,25.5
1970-12-13,24
1970-12-14,20.2
1970-12-15,22.9
1970-12-16,24
1970-12-17,23.8
1970-12-18,24
1970-12-19,22.3
1970-12-20,29.4
1970-12-21,27
1970-12-22,21.2
1970-12-23,25.7
1970-12-24,22.8
1970-12-25,26.5
1970-12-26,24
1970-12-27,22.9
1970-12-28,20.1
1970-12-29,25.1
1970-12-30,29.4
1970-12-31,27
1971-01-01,28.5
1971-01-02,26.1
1971-01-03,26.1
1971-01-04,21
1971-01-05,20
1971-01-06,25.3
1971-04-06,21.4
1971-04-07,21.5
1971-04-08,18
1971-04-09,18.7
1971-04-10,19.1
1971-04-11,20.2
1971-04-12,21
1971-04-13,20.1
1971-04-14,19.8
1971-04-15,21.8
1971-04-16,18.8
1971-04-17,22.7
1971-04-18,20
1971-04-19,22.2
1971-04-20,22
1971-04-21,19.2
1971-04-22,22.2
1971-04-23,18.3
1971-04-24,20.1
1971-04-25,19.3
1971-04-26,17.7
1971-04-27,20.7
1971-04-28,21.5
1971-04-29,15.5
1971-04-30,18.6
1971-05-01,22.8
1971-05-02,23.7
1971-05-03,18.1
1971-05-04,13.8
1971-05-05,12.3
1971-05-06,12.5
1971-05-07,14.7
1971-05-08,14.5
1971-05-09,16
1971-05-10,18.5
1971-05-11,18.9
1971-05-12,13.9
1971-05-13,15.3
1971-05-14,13.8
1971-05-15,15.2
1971-05-16,16.1
1971-05-17,16.5
1971-05-18,18.4
1971-05-19,17.7
1971-05-20,18.5
1971-05-21,21.1
1971-05-22,18.5
1971-05-23,18.3
1971-05-24,17.5
1971-05-25,17
1971-05-26,18.8
1971-05-27,15.2
1971-05-28,16.3
1971-05-29,19.9
1971-05-30,19
